Time Minutes,Cumulative Keywords,Keywords This Page,Page Number
0,15,15,1
0.01,30,15,2
0.1,45,15,3
0.13,60,15,4
0.18,75,15,5
0.22,90,15,6
0.27,90,0,7
0.3,105,15,8
0.35,120,15,9
0.5,135,15,10
0.51,150,15,11
0.56,165,15,12
0.59,180,15,13
0.63,195,15,14
0.64,210,15,15
0.74,210,0,16
0.78,225,15,17
0.8,240,15,18
0.84,255,15,19
0.84,270,15,20
0.89,285,15,21
0.89,300,15,22
0.94,300,0,23
0.97,315,15,24
1.01,330,15,25
1.06,345,15,26
1.1,360,15,27
1.14,375,15,28
1.18,390,15,29
1.2,405,15,30
1.24,420,15,31
1.28,435,15,32
1.33,435,0,33
1.36,450,15,34
1.36,465,15,35
1.4,480,15,36
1.45,480,0,37
1.47,495,15,38
1.52,510,15,39
1.57,525,15,40
1.6,540,15,41
1.64,555,15,42
1.7,555,0,43
1.73,570,15,44
1.77,585,15,45
1.84,600,15,46
1.89,615,15,47
1.96,630,15,48
2.04,645,15,49
2.09,660,15,50
2.14,675,15,51
2.18,675,0,52
2.2,690,15,53
2.25,705,15,54
2.27,720,15,55
2.5,735,15,56
2.65,750,15,57
2.78,765,15,58
2.85,780,15,59
2.9,795,15,60
2.93,810,15,61
2.94,825,15,62
3.01,840,15,63
3.1,855,15,64
3.14,870,15,65
3.19,885,15,66
3.27,900,15,67
3.35,910,10,68
3.4,925,15,69
3.44,935,10,70
3.48,950,15,71
3.57,965,15,72
3.64,980,15,73
3.68,995,15,74
3.72,1010,15,75
3.81,1025,15,76
3.9,1040,15,77
3.95,1055,15,78
4,1070,15,79
4.08,1082,12,80
4.12,1097,15,81
4.17,1109,12,82
4.24,1124,15,83
4.3,1139,15,84
4.38,1154,15,85
4.43,1169,15,86
4.46,1184,15,87
4.56,1199,15,88
4.65,1214,15,89
4.69,1229,15,90
4.73,1244,15,91
4.81,1257,13,92
4.85,1272,15,93
4.88,1285,13,94
4.89,1300,15,95
4.93,1315,15,96
5.01,1330,15,97
5.06,1345,15,98
5.09,1360,15,99
5.12,1375,15,100
5.16,1390,15,101
5.2,1405,15,102
5.26,1405,0,103
5.3,1420,15,104
5.34,1435,15,105
5.39,1450,15,106
5.43,1465,15,107
5.46,1480,15,108
5.49,1495,15,109
5.52,1510,15,110
5.57,1510,0,111
5.61,1525,15,112
5.65,1540,15,113
5.7,1555,15,114
5.74,1570,15,115
5.78,1585,15,116
5.83,1585,0,117
5.87,1600,15,118
5.9,1615,15,119
5.95,1630,15,120
5.99,1645,15,121
6.05,1660,15,122
6.08,1675,15,123
6.16,1690,15,124
6.19,1705,15,125
6.23,1705,0,126
6.27,1705,0,127
6.3,1720,15,128
6.34,1735,15,129
6.39,1750,15,130
6.45,1765,15,131
6.49,1780,15,132
6.54,1780,0,133
6.58,1795,15,134
6.61,1810,15,135
6.66,1825,15,136
6.7,1840,15,137
6.73,1855,15,138
6.85,1870,15,139
6.89,1885,15,140
6.89,1900,15,141
7.09,1915,15,142
7.09,1930,15,143
7.14,1945,15,144
7.21,1960,15,145
7.25,1975,15,146
7.43,1990,15,147
7.47,2005,15,148
7.68,2020,15,149
7.71,2035,15,150
7.92,2050,15,151
7.96,2065,15,152
8.17,2080,15,153
8.22,2095,15,154
8.39,2110,15,155
8.43,2125,15,156
8.64,2140,15,157
8.68,2155,15,158
8.88,2170,15,159
8.9,2185,15,160
9.12,2200,15,161
9.17,2215,15,162
9.33,2230,15,163
9.37,2245,15,164
9.54,2260,15,165
9.58,2275,15,166
9.77,2290,15,167
9.81,2305,15,168
10.04,2320,15,169
10.09,2335,15,170
10.3,2350,15,171
10.32,2365,15,172
10.52,2380,15,173
10.56,2395,15,174
10.77,2410,15,175
10.8,2425,15,176
11.02,2440,15,177
11.04,2455,15,178
11.24,2470,15,179
11.28,2485,15,180
11.44,2500,15,181
11.49,2515,15,182
11.71,2530,15,183
11.76,2545,15,184
11.98,2560,15,185
12.03,2575,15,186
12.26,2590,15,187
12.31,2605,15,188
12.52,2620,15,189
12.56,2635,15,190
12.78,2650,15,191
12.95,2665,15,192
12.99,2680,15,193
13.22,2695,15,194
13.27,2710,15,195
13.48,2725,15,196
13.52,2740,15,197
13.69,2755,15,198
13.74,2770,15,199
13.94,2785,15,200
13.98,2800,15,201
14.2,2815,15,202
14.33,2830,15,203
14.48,2845,15,204
14.52,2860,15,205
14.73,2875,15,206
14.78,2890,15,207
14.93,2905,15,208
15.09,2920,15,209
15.25,2935,15,210
15.3,2950,15,211
15.47,2965,15,212
15.52,2980,15,213
15.69,2995,15,214
15.89,3010,15,215
15.93,3025,15,216
16.12,3040,15,217
16.16,3055,15,218
16.36,3070,15,219
16.4,3085,15,220
16.45,3100,15,221
17.06,3115,15,222
17.1,3130,15,223
17.15,3145,15,224
17.19,3160,15,225
17.24,3175,15,226
17.26,3190,15,227
17.31,3205,15,228
17.35,3220,15,229
17.4,3235,15,230
17.49,3250,15,231
17.67,3265,15,232
17.69,3280,15,233
17.82,3295,15,234
17.84,3310,15,235
18,3325,15,236
18.04,3340,15,237
18.24,3355,15,238
18.42,3370,15,239
18.45,3385,15,240
18.63,3400,15,241
18.67,3415,15,242
18.82,3430,15,243
19.05,3445,15,244
19.09,3460,15,245
19.25,3475,15,246
19.3,3490,15,247
19.46,3505,15,248
19.67,3520,15,249
19.71,3535,15,250
19.94,3550,15,251
19.98,3565,15,252
20.14,3580,15,253
20.19,3595,15,254
20.38,3610,15,255
21.87,3625,15,256
21.9,3640,15,257
22.11,3655,15,258
22.16,3670,15,259
22.41,3685,15,260
22.44,3700,15,261
22.59,3715,15,262
22.78,3730,15,263
22.81,3745,15,264
22.98,3760,15,265
23.01,3775,15,266
23.23,3790,15,267
23.28,3805,15,268
23.48,3820,15,269
23.52,3835,15,270
23.8,3850,15,271
23.85,3865,15,272
23.89,3880,15,273
23.94,3895,15,274
23.99,3910,15,275
24.03,3925,15,276
24.05,3940,15,277
24.1,3955,15,278
24.15,3970,15,279
24.19,3985,15,280
24.22,4000,15,281
24.27,4015,15,282
24.3,4030,15,283
24.43,4045,15,284
24.62,4060,15,285
24.66,4075,15,286
24.68,4075,0,287
24.73,4075,0,288
24.78,4090,15,289
24.81,4105,15,290
24.83,4120,15,291
24.87,4135,15,292
24.9,4150,15,293
24.95,4165,15,294
25,4180,15,295
25.04,4180,0,296
25.08,4180,0,297
25.12,4195,15,298
25.16,4210,15,299
25.21,4225,15,300
25.26,4240,15,301
25.31,4255,15,302
25.34,4270,15,303
25.39,4285,15,304
25.43,4300,15,305
25.47,4315,15,306
25.51,4330,15,307
25.54,4345,15,308
25.59,4360,15,309
25.64,4375,15,310
25.68,4390,15,311
25.72,4405,15,312
25.76,4420,15,313
25.81,4435,15,314
25.84,4450,15,315
25.89,4465,15,316
25.92,4480,15,317
25.97,4495,15,318
25.99,4510,15,319
26.01,4525,15,320
26.04,4540,15,321
26.07,4555,15,322
26.11,4570,15,323
26.15,4585,15,324
26.19,4600,15,325
26.22,4615,15,326
26.25,4630,15,327
26.3,4645,15,328
26.32,4660,15,329
26.36,4675,15,330
26.39,4690,15,331
26.44,4705,15,332
26.48,4720,15,333
26.53,4735,15,334
26.58,4750,15,335
26.62,4765,15,336
26.66,4780,15,337
26.7,4795,15,338
26.74,4810,15,339
26.79,4825,15,340
26.83,4840,15,341
26.88,4855,15,342
26.92,4870,15,343
26.96,4885,15,344
27,4900,15,345
27.05,4915,15,346
27.1,4915,0,347
27.14,4930,15,348
27.17,4945,15,349
27.21,4960,15,350
27.24,4975,15,351
27.29,4975,0,352
27.36,4990,15,353
27.4,5005,15,354
27.45,5020,15,355
27.48,5035,15,356
27.52,5050,15,357
27.56,5065,15,358
27.6,5080,15,359
27.64,5095,15,360
27.67,5110,15,361
27.71,5110,0,362
27.75,5125,15,363
27.79,5140,15,364
27.83,5140,0,365
27.87,5140,0,366
27.91,5155,15,367
27.94,5170,15,368
27.98,5185,15,369
28.08,5200,15,370
28.12,5215,15,371
28.18,5230,15,372
28.18,5245,15,373
28.23,5260,15,374
28.34,5275,15,375
28.56,5290,15,376
28.68,5305,15,377
28.8,5320,15,378
28.91,5330,10,379
29.04,5345,15,380
29.17,5360,15,381
29.3,5375,15,382
29.43,5390,15,383
29.56,5405,15,384
29.68,5420,15,385
29.8,5435,15,386
29.8,5450,15,387
29.84,5465,15,388
29.86,5480,15,389
29.91,5495,15,390
29.95,5503,8,391
29.98,5518,15,392
30.03,5529,11,393
30.08,5543,14,394
30.12,5558,15,395
30.2,5573,15,396
30.3,5575,2,397
30.3,5590,15,398
30.34,5605,15,399
30.44,5620,15,400
31.58,5635,15,401
31.69,5650,15,402
32.05,5652,2,403
32.19,5667,15,404
32.23,5682,15,405
32.26,5697,15,406
32.3,5712,15,407
32.33,5727,15,408
32.36,5742,15,409
32.41,5757,15,410
32.46,5771,14,411
32.5,5780,9,412
32.52,5792,12,413
32.57,5807,15,414
32.62,5817,10,415
32.66,5832,15,416
32.7,5847,15,417
32.74,5862,15,418
32.79,5877,15,419
32.84,5892,15,420
32.89,5907,15,421
32.93,5922,15,422
32.96,5937,15,423
33,5939,2,424
33.09,5954,15,425
33.13,5969,15,426
33.17,5984,15,427
33.2,5999,15,428
33.23,6014,15,429
33.28,6029,15,430
33.31,6044,15,431
33.35,6046,2,432
33.49,6061,15,433
33.51,6063,2,434
34.04,6078,15,435
34.07,6093,15,436
34.12,6108,15,437
34.16,6123,15,438
34.19,6138,15,439
34.24,6147,9,440
34.32,6162,15,441
34.47,6164,2,442
34.73,6167,3,443
34.84,6182,15,444
34.88,6197,15,445
34.93,6212,15,446
34.97,6216,4,447
35.06,6231,15,448
35.09,6246,15,449
35.11,6261,15,450
35.15,6276,15,451
35.18,6291,15,452
35.21,6306,15,453
35.43,6321,15,454
35.54,6336,15,455
35.54,6351,15,456
35.57,6366,15,457
35.66,6368,2,458
35.94,6383,15,459
36.08,6398,15,460
36.08,6413,15,461
36.29,6428,15,462
36.45,6443,15,463
36.5,6458,15,464
36.55,6473,15,465
36.6,6488,15,466
36.68,6503,15,467
36.72,6518,15,468
36.84,6533,15,469
36.89,6548,15,470
36.93,6563,15,471
36.98,6578,15,472
37.08,6578,0,473
37.18,6593,15,474
37.23,6593,0,475
37.28,6608,15,476
37.8,6623,15,477
37.99,6638,15,478
38.03,6653,15,479
38.11,6668,15,480
38.24,6683,15,481
38.24,6698,15,482
38.26,6713,15,483
38.33,6728,15,484
38.37,6743,15,485
38.42,6758,15,486
38.46,6773,15,487
38.51,6788,15,488
38.53,6803,15,489
38.59,6818,15,490
38.72,6833,15,491
38.97,6848,15,492
39.01,6863,15,493
39.05,6878,15,494
39.09,6893,15,495
39.18,6908,15,496
39.31,6923,15,497
39.44,6938,15,498
39.68,6948,10,499
39.8,6963,15,500
39.9,6978,15,501
40.19,6985,7,502
40.33,6986,1,503
40.38,6989,3,504
40.43,7004,15,505
40.46,7007,3,506
41.43,7007,0,507
41.5,7012,5,508
41.54,7015,3,509
41.62,7030,15,510
41.67,7038,8,511
41.71,7048,10,512
42.23,7056,8,513
42.27,7064,8,514
42.5,7066,2,515
42.63,7081,15,516
42.67,7090,9,517
42.72,7102,12,518
42.76,7117,15,519
42.79,7132,15,520
42.81,7144,12,521
42.85,7151,7,522
42.89,7166,15,523
42.94,7173,7,524
43.16,7188,15,525
43.29,7203,15,526
43.29,7215,12,527
43.37,7215,0,528
43.42,7215,0,529
43.45,7215,0,530
43.53,7215,0,531
43.57,7215,0,532
43.73,7215,0,533
43.77,7215,0,534
43.82,7215,0,535
43.9,7215,0,536
43.95,7215,0,537
43.99,7215,0,538
44.04,7215,0,539
44.09,7215,0,540
44.11,7215,0,541
44.15,7215,0,542
44.19,7215,0,543
44.24,7215,0,544
44.29,7215,0,545
44.38,7215,0,546
44.47,7215,0,547
44.5,7215,0,548
44.57,7215,0,549
44.71,7215,0,550
44.76,7215,0,551
44.79,7215,0,552
44.88,7215,0,553
44.93,7215,0,554
44.96,7215,0,555
45,7215,0,556
45.05,7215,0,557
45.08,7215,0,558
45.13,7215,0,559
45.17,7215,0,560
45.22,7215,0,561
45.27,7215,0,562
45.31,7215,0,563
45.34,7215,0,564
45.39,7215,0,565
45.5,7215,0,566
45.54,7215,0,567
45.59,7215,0,568
45.66,7215,0,569
45.71,7215,0,570
45.74,7215,0,571
45.88,7215,0,572
45.92,7215,0,573
45.96,7215,0,574
46.01,7215,0,575
46.05,7215,0,576
46.08,7215,0,577
46.19,7215,0,578
46.26,7215,0,579
46.3,7215,0,580
46.34,7215,0,581
47.02,7215,0,582
47.11,7215,0,583
47.14,7215,0,584
47.23,7230,15,585
47.23,7230,0,586
47.28,7230,0,587
47.28,7245,15,588
47.32,7260,15,589
47.36,7275,15,590
47.4,7290,15,591
47.44,7305,15,592
47.49,7320,15,593
47.53,7335,15,594
47.57,7350,15,595
47.61,7365,15,596
47.63,7380,15,597
47.66,7395,15,598
47.7,7410,15,599
47.75,7425,15,600
47.8,7440,15,601
47.84,7455,15,602
47.88,7470,15,603
47.91,7485,15,604
47.95,7500,15,605
47.99,7515,15,606
48.04,7530,15,607
48.08,7545,15,608
48.1,7560,15,609
48.14,7575,15,610
48.19,7590,15,611
48.23,7605,15,612
48.27,7620,15,613
48.32,7635,15,614
48.36,7650,15,615
48.41,7665,15,616
48.45,7667,2,617
48.47,7682,15,618
48.52,7685,3,619
48.56,7700,15,620
48.59,7705,5,621
48.64,7711,6,622
48.69,7717,6,623
48.73,7723,6,624
48.77,7723,0,625
48.79,7723,0,626
48.84,7729,6,627
48.89,7735,6,628
48.93,7735,0,629
50.34,7741,6,630
50.37,7747,6,631
50.41,7753,6,632
50.44,7759,6,633
50.48,7765,6,634
50.53,7771,6,635
50.58,7779,8,636
50.64,7779,0,637
51,7785,6,638
51.04,7791,6,639
51.09,7797,6,640
51.13,7803,6,641
51.17,7810,7,642
51.2,7817,7,643
51.24,7817,0,644
51.29,7817,0,645
51.33,7822,5,646
51.36,7829,7,647
51.39,7834,5,648
51.44,7839,5,649
51.79,7844,5,650
51.83,7849,5,651
52.19,7855,6,652
52.22,7862,7,653
52.27,7867,5,654
52.32,7867,0,655
52.36,7873,6,656
52.41,7880,7,657
52.46,7887,7,658
52.5,7894,7,659
52.52,7900,6,660
52.57,7905,5,661
52.62,7920,15,662
52.66,7923,3,663
52.69,7926,3,664
52.73,7929,3,665
52.75,7932,3,666
52.8,7935,3,667
52.84,7939,4,668
52.88,7948,9,669
52.93,7955,7,670
52.96,7961,6,671
53,7970,9,672
53.05,7977,7,673
53.09,7977,0,674
53.13,7984,7,675
53.17,7991,7,676
53.2,7998,7,677
53.24,8005,7,678
53.29,8012,7,679
53.33,8017,5,680
53.38,8022,5,681
53.42,8027,5,682
53.44,8032,5,683
53.49,8037,5,684
53.53,8043,6,685
53.58,8049,6,686
53.62,8056,7,687
53.67,8062,6,688
53.71,8068,6,689
53.75,8074,6,690
53.8,8079,5,691
53.85,8086,7,692
53.89,8092,6,693
53.93,8097,5,694
53.97,8104,7,695
54.06,8110,6,696
54.11,8116,6,697
54.15,8123,7,698
54.2,8128,5,699
54.23,8128,0,700
54.27,8135,7,701
54.3,8140,5,702
54.33,8148,8,703
54.38,8148,0,704
54.43,8157,9,705
54.48,8166,9,706
54.52,8173,7,707
54.57,8179,6,708
54.6,8185,6,709
54.62,8190,5,710
54.65,8197,7,711
54.69,8203,6,712
54.74,8211,8,713
54.78,8216,5,714
54.83,8223,7,715
54.87,8229,6,716
54.91,8229,0,717
54.95,8235,6,718
54.98,8241,6,719
55.02,8247,6,720
55.37,8253,6,721
55.42,8259,6,722
55.46,8259,0,723
55.64,8266,7,724
55.67,8271,5,725
55.69,8276,5,726
55.73,8281,5,727
55.76,8286,5,728
55.8,8291,5,729
55.84,8296,5,730
55.87,8302,6,731
55.92,8302,0,732
55.96,8308,6,733
56.01,8314,6,734
56.05,8320,6,735
56.1,8326,6,736
56.13,8332,6,737
56.16,8338,6,738
56.21,8344,6,739
56.24,8350,6,740
56.28,8350,0,741
56.32,8355,5,742
56.37,8361,6,743
56.41,8366,5,744
56.46,8366,0,745
56.49,8371,5,746
56.54,8376,5,747
56.58,8381,5,748
56.62,8386,5,749
56.66,8391,5,750
56.7,8396,5,751
56.74,8401,5,752
56.78,8406,5,753
56.83,8411,5,754
56.88,8416,5,755
56.92,8423,7,756
56.97,8429,6,757
57.01,8434,5,758
57.06,8438,4,759
57.11,8443,5,760
57.14,8448,5,761
57.18,8453,5,762
57.23,8457,4,763
57.26,8462,5,764
57.3,8467,5,765
57.35,8473,6,766
57.4,8478,5,767
57.43,8483,5,768
57.48,8489,6,769
57.52,8495,6,770
57.56,8500,5,771
57.59,8505,5,772
57.64,8510,5,773
57.68,8516,6,774
57.72,8523,7,775
57.75,8528,5,776
57.77,8533,5,777
57.8,8539,6,778
57.85,8545,6,779
57.9,8551,6,780
57.94,8558,7,781
57.98,8565,7,782
58.03,8572,7,783
58.05,8579,7,784
58.08,8588,9,785
58.13,8597,9,786
58.17,8606,9,787
58.22,8616,10,788
58.27,8626,10,789
58.31,8636,10,790
58.35,8646,10,791
58.39,8652,6,792
58.43,8652,0,793
58.48,8657,5,794
58.52,8662,5,795
58.55,8671,9,796
58.6,8678,7,797
58.64,8683,5,798
58.69,8683,0,799
58.71,8683,0,800
58.74,8689,6,801
58.78,8696,7,802
58.83,8701,5,803
58.87,8701,0,804
58.91,8707,6,805
58.96,8715,8,806
58.99,8723,8,807
59.03,8723,0,808
59.06,8728,5,809
59.11,8736,8,810
59.15,8736,0,811
59.19,8736,0,812
59.23,8742,6,813
59.27,8747,5,814
59.31,8750,3,815
59.36,8753,3,816
59.4,8756,3,817
59.45,8759,3,818
59.5,8764,5,819
59.54,8772,8,820
59.57,8772,0,821
59.6,8779,7,822
59.63,8785,6,823
59.98,8791,6,824
60.02,8797,6,825
60.05,8803,6,826
60.09,8803,0,827
60.14,8803,0,828
60.17,8811,8,829
60.21,8816,5,830
60.24,8822,6,831
60.27,8829,7,832
60.32,8836,7,833
60.35,8843,7,834
60.38,8851,8,835
60.43,8860,9,836
60.48,8860,0,837
60.52,8868,8,838
60.56,8873,5,839
60.6,8883,10,840
60.95,8892,9,841
61,8897,5,842
61.04,8902,5,843
61.08,8908,6,844
61.12,8908,0,845
61.16,8914,6,846
61.21,8920,6,847
61.25,8926,6,848
61.28,8931,5,849
61.33,8931,0,850
61.36,8938,7,851
61.41,8943,5,852
61.45,8951,8,853
61.8,8951,0,854
61.85,8958,7,855
61.89,8966,8,856
61.94,8972,6,857
61.98,8978,6,858
62.02,8984,6,859
62.06,8990,6,860
62.14,8996,6,861
62.16,9002,6,862
62.21,9005,3,863
62.25,9008,3,864
62.3,9011,3,865
62.35,9013,2,866
62.39,9015,2,867
62.44,9017,2,868
62.46,9019,2,869
62.5,9021,2,870
62.54,9024,3,871
62.57,9027,3,872
62.62,9033,6,873
62.67,9037,4,874
62.71,9044,7,875
62.76,9050,6,876
62.8,9058,8,877
62.84,9064,6,878
63.2,9072,8,879
63.24,9078,6,880
63.29,9084,6,881
63.33,9092,8,882
63.37,9107,15,883
63.39,9113,6,884
63.43,9119,6,885
63.47,9125,6,886
63.49,9130,5,887
63.52,9133,3,888
63.56,9136,3,889
63.61,9139,3,890
63.66,9142,3,891
63.7,9145,3,892
63.73,9151,6,893
63.78,9166,15,894
63.83,9173,7,895
63.86,9178,5,896
63.9,9184,6,897
63.94,9189,5,898
63.98,9204,15,899
64.02,9219,15,900
64.07,9225,6,901
64.11,9231,6,902
64.15,9237,6,903
64.19,9245,8,904
64.24,9260,15,905
64.28,9266,6,906
64.33,9272,6,907
64.38,9278,6,908
64.42,9284,6,909
64.46,9290,6,910
64.51,9305,15,911
64.55,9311,6,912
64.58,9317,6,913
64.62,9323,6,914
64.67,9329,6,915
64.7,9335,6,916
64.74,9341,6,917
64.78,9348,7,918
64.82,9354,6,919
64.87,9364,10,920
64.91,9372,8,921
64.96,9387,15,922
65.04,9393,6,923
65.08,9399,6,924
65.11,9405,6,925
65.16,9410,5,926
65.19,9415,5,927
65.24,9421,6,928
65.28,9427,6,929
65.31,9442,15,930
65.34,9448,6,931
65.39,9454,6,932
65.41,9461,7,933
65.46,9468,7,934
65.51,9475,7,935
65.55,9482,7,936
65.59,9497,15,937
65.63,9512,15,938
65.65,9521,9,939
65.7,9530,9,940
65.75,9535,5,941
65.79,9541,6,942
65.84,9547,6,943
65.89,9552,5,944
65.93,9560,8,945
65.96,9575,15,946
66,9590,15,947
66.03,9605,15,948
66.06,9620,15,949
66.11,9627,7,950
66.16,9632,5,951
66.19,9635,3,952
66.23,9638,3,953
66.27,9641,3,954
66.31,9644,3,955
66.35,9648,4,956
66.4,9654,6,957
66.44,9661,7,958
66.49,9676,15,959
66.53,9682,6,960
66.57,9688,6,961
66.61,9703,15,962
66.65,9710,7,963
66.7,9717,7,964
66.77,9726,9,965
66.81,9733,7,966
66.85,9748,15,967
67.21,9754,6,968
67.24,9759,5,969
67.29,9764,5,970
67.33,9770,6,971
67.38,9775,5,972
67.42,9779,4,973
67.46,9782,3,974
67.51,9785,3,975
67.53,9788,3,976
67.58,9791,3,977
67.63,9795,4,978
67.68,9802,7,979
67.73,9817,15,980
67.76,9823,6,981
67.8,9829,6,982
67.84,9836,7,983
67.88,9842,6,984
67.93,9848,6,985
67.97,9852,4,986
68.02,9857,5,987
68.07,9860,3,988
68.12,9863,3,989
68.15,9866,3,990
68.18,9869,3,991
68.23,9874,5,992
68.27,9880,6,993
68.31,9886,6,994
68.35,9892,6,995
68.39,9900,8,996
68.44,9906,6,997
68.49,9912,6,998
68.53,9918,6,999
68.58,9933,15,1000
68.62,9939,6,1001
68.66,9945,6,1002
68.69,9960,15,1003
68.73,9966,6,1004
68.76,9971,5,1005
68.8,9977,6,1006
68.84,9983,6,1007
68.88,9990,7,1008
68.92,10005,15,1009
68.96,10010,5,1010
69.01,10015,5,1011
69.04,10022,7,1012
69.08,10025,3,1013
69.12,10028,3,1014
69.17,10031,3,1015
69.22,10034,3,1016
69.25,10037,3,1017
69.29,10042,5,1018
69.34,10048,6,1019
69.38,10054,6,1020
69.43,10060,6,1021
69.47,10069,9,1022
69.52,10076,7,1023
69.56,10082,6,1024
69.61,10097,15,1025
69.66,10112,15,1026
